selection,n_cells,n_genes,panel,panel_genes,sweep,seed,ctrl_size,n_bins,mean_difference,mean_difference_ci_low,mean_difference_ci_high,welch_df,cohens_d,exact_perm_p,mean_difference_without_s3,cohens_d_without_s3,sign_preserved_without_s3,surgery_values,control_values
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,15,50,25,0.14820657874245158,-0.07106280880082316,0.3674759662857263,2.649908861573161,1.895176833197293,0.2,0.19995593351600705,3.7801118800530937,True,S1:1.9020403;S2:1.8031113;S3:1.6973277,C1:1.6998099;C2:1.6200693;C3:1.6379804
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,16,50,25,0.13191594578060717,-0.10558571385039717,0.3694176054116115,2.550729276047812,1.5982984898296728,0.2,0.18269964614766887,2.916283514105329,True,S1:1.912521;S2:1.7827537;S3:1.6952862,C1:1.7117076;C2:1.6354931;C3:1.6476123
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,17,50,25,0.1423941393814394,-0.0772241054161946,0.36201238417907344,2.6161528002153522,1.8336175681523188,0.1,0.18949664231693197,3.156689372577661,True,S1:1.952867;S2:1.8302153;S3:1.7502336,C1:1.7473669;C2:1.6691859;C3:1.6895807
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,18,50,25,0.135068956429103,-0.12768482652176882,0.3978227393799748,2.5435631100726193,1.4821325681064321,0.2,0.19620004381063905,3.2703431781571783,True,S1:1.9973806;S2:1.8811346;S3:1.7558643,C1:1.7935306;C2:1.707336;C3:1.7283061
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,seed_sweep,19,50,25,0.14655576773782086,-0.07476114694861372,0.3678726824242554,2.515499341351815,1.9242612641333048,0.1,0.19342094361259643,3.346037565827157,True,S1:1.9209156;S2:1.7997919;S3:1.7197582,C1:1.7092038;C2:1.6436936;C3:1.647901
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,control_size_sweep,42,25,25,0.1461739085427629,-0.10686768523494822,0.39921550232047404,2.8117695104399347,1.5595234025858766,0.2,0.21013317226316697,3.535701843885997,True,S1:2.014132;S2:1.9198138;S3:1.7750951,C1:1.8188999;C2:1.7121851;C3:1.739434
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,control_size_sweep,42,50,25,0.1471180473012097,-0.10453632484539238,0.3987724194478118,2.7469167675254087,1.6013964916963443,0.2,0.20927543556049422,3.5243159706668554,True,S1:1.9765762;S2:1.8755898;S3:1.7396108,C1:1.7751541;C2:1.6739869;C3:1.7012815
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,control_size_sweep,42,100,25,0.1437122452099009,-0.11592288693314712,0.4033473773529489,2.607652510397095,1.5688115851584128,0.2,0.20580692988266835,3.4900927459520505,True,S1:1.9634313;S2:1.8546881;S3:1.7227757,C1:1.7565843;C2:1.6653381;C3:1.687836
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,control_size_sweep,42,200,25,0.14326902505054862,-0.11003395188268433,0.39657200198378156,2.567658130553376,1.6201130527452063,0.2,0.20191232822097227,3.3894104263307607,True,S1:1.9635499;S2:1.8478992;S3:1.7297946,C1:1.754049;C2:1.669389;C3:1.6879987
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,bin_sweep,42,50,10,0.12485902752250899,-0.09225147433136813,0.34196952937638614,2.7029282872468685,1.5917090106689502,0.2,0.1773527226171998,3.4173923042153276,True,S1:2.1875528;S2:2.0948334;S3:1.983712,C1:2.0130172;C2:1.9304789;C3:1.948025
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,bin_sweep,42,50,25,0.1471180473012097,-0.10453632484539238,0.3987724194478118,2.7469167675254087,1.6013964916963443,0.2,0.20927543556049422,3.5243159706668554,True,S1:1.9765762;S2:1.8755898;S3:1.7396108,C1:1.7751541;C2:1.6739869;C3:1.7012815
predicted_doublet_false,7371,27933,ieg13,Fos;Fosb;Jun;Junb;Jund;Egr1;Atf3;Ier2;Dusp1;Zfp36;Hspa1a;Hspa1b;Socs3,bin_sweep,42,50,50,0.13719777116325504,-0.08096797280147047,0.3553635151279806,2.5464009913647736,1.8117673443440003,0.1,0.183176780194507,3.133287458806846,True,S1:1.7886138;S2:1.6665515;S3:1.5896456,C1:1.5873746;C2:1.518788;C3:1.527055
